date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,6.94,14.33,11.03,8.25,13.64,2.459,11
2024-12-15T00:00:00.000Z,0.01,22.61,1,0.5,9.48,7.041,24
2024-12-16T00:00:00.000Z,0.23,6.87,3.42,1.39,5.05,2.005,24
2024-12-17T00:00:00.000Z,0.02,15.39,1.64,1.09,3.93,3.514,24
2024-12-18T00:00:00.000Z,0.14,18.64,5.36,2.84,9.64,4.688,24
2024-12-19T00:00:00.000Z,0.01,10.45,1.88,0.43,4.92,2.909,24
2024-12-20T00:00:00.000Z,0,218.25,0.04,0,109.17,94.493,4
2025-02-06T00:00:00.000Z,3.48,37.58,9.66,4.76,32.24,13.591,20
2025-02-07T00:00:00.000Z,1,10.83,3.2,1.95,3.73,2.144,24
2025-02-08T00:00:00.000Z,1.06,16.13,4.21,1.36,8.71,4.333,24
2025-02-09T00:00:00.000Z,1.18,18.01,5.89,3.24,8.88,4.377,24
2025-02-10T00:00:00.000Z,4.01,46.02,25.35,8.86,39.47,14.374,24
2025-02-11T00:00:00.000Z,4.62,14.44,9.32,7.63,11.28,2.659,24
2025-02-12T00:00:00.000Z,2.74,22.54,9.55,4.5,12.47,4.73,24
2025-02-13T00:00:00.000Z,2,17.34,13.57,9.61,15.65,4.396,24
2025-02-14T00:00:00.000Z,1.11,38.45,6.37,4.34,18.63,11.746,23
2025-02-15T00:00:00.000Z,2.52,44.32,11.21,5.51,19.45,12.803,24
2025-02-16T00:00:00.000Z,6.19,77.7,20.74,12.97,46.84,20.945,24
2025-02-17T00:00:00.000Z,0.03,17.28,5.51,2.24,7.63,4.051,24
2025-02-18T00:00:00.000Z,0.12,23.6,5.88,1.35,9.24,5.435,24
2025-02-19T00:00:00.000Z,4.11,17.68,8.83,6.31,9.91,2.879,24
2025-02-20T00:00:00.000Z,3.03,26.83,14.32,9.21,19.05,6.432,24
2025-02-21T00:00:00.000Z,0.78,55.73,4.86,3.01,9.25,13.458,24
2025-02-22T00:00:00.000Z,0.28,23.52,4.3,2.16,8.16,5.454,24
2025-02-23T00:00:00.000Z,1.03,24.08,4.8,2.46,10.31,6.855,24
2025-02-24T00:00:00.000Z,1.79,49.32,23.39,9.94,32.75,13.304,24
2025-02-25T00:00:00.000Z,0.02,39.31,11.83,0.62,19.18,11.418,24
2025-02-26T00:00:00.000Z,0,135.83,4.09,1.22,6.67,27.675,22
2025-03-19T00:00:00.000Z,2.02,19,2.73,2.2,7.09,4.563,13
2025-03-20T00:00:00.000Z,1.85,37.51,4.4,3.2,8.75,8.729,24
2025-03-21T00:00:00.000Z,1.39,39.7,3.71,2.49,15.09,9.536,24
2025-03-22T00:00:00.000Z,5.4,50.77,32.24,20.87,36.83,12.38,24
