date,min,max,median,q1,q3,stdev,count
2025-02-26T00:00:00.000Z,0.35,17.8,4.19,1.41,6.16,4.407,24
2025-02-27T00:00:00.000Z,0.68,32.83,9.09,6.63,17.55,9.526,18
2025-02-28T00:00:00.000Z,13.42,36.04,26.41,18.44,31.34,7.557,6
2025-03-01T00:00:00.000Z,0.37,59.77,15.5,1.02,29.77,16.641,18
2025-03-02T00:00:00.000Z,0.36,27.95,4.51,1.73,10.19,8.055,24
2025-03-03T00:00:00.000Z,0.35,15.21,2.06,1.05,4.51,4.091,24
2025-03-04T00:00:00.000Z,0.71,8.07,4.83,2.33,6.1,2.147,24
2025-03-05T00:00:00.000Z,0.59,18.25,7.36,4.28,12.58,5.382,24
2025-03-06T00:00:00.000Z,2.36,20.01,9.46,7.62,16.03,5.822,6
2025-03-07T00:00:00.000Z,0.62,7.45,4.53,3.05,5.14,1.764,19
2025-03-08T00:00:00.000Z,0.37,11.25,4,2.71,5.12,3.066,24
2025-03-09T00:00:00.000Z,0.35,13.81,5.39,4.04,8.75,3.696,24
2025-03-10T00:00:00.000Z,2.12,32.29,9.38,7.32,21.46,9.472,24
2025-03-11T00:00:00.000Z,0.35,33.95,5.13,1.08,13.38,9.431,24
2025-03-12T00:00:00.000Z,0.35,12.76,2.25,0.66,3.97,3.711,24
2025-03-13T00:00:00.000Z,0.35,56.07,7.79,3.15,9.77,12.513,24
2025-03-14T00:00:00.000Z,1.06,57.8,8.17,4.4,16.45,13.08,24
2025-03-15T00:00:00.000Z,0.36,54.95,6.37,3.17,19.07,17.569,24
2025-03-16T00:00:00.000Z,0.35,44.84,3.59,1.17,7.76,12.251,24
2025-03-17T00:00:00.000Z,0.35,43.69,1.42,0.72,10.02,10.049,24
2025-03-18T00:00:00.000Z,0.35,40.83,0.89,0.42,10.15,10.806,24
2025-03-19T00:00:00.000Z,0.35,48.8,1.49,0.44,9.19,11.819,24
2025-03-20T00:00:00.000Z,0.35,46.84,0.88,0.39,11.2,12.601,24
2025-03-21T00:00:00.000Z,0.35,44.89,4.83,1.88,26.17,13.334,24
2025-03-22T00:00:00.000Z,0.41,51.44,12.8,3.75,27.55,14.709,24
2025-03-23T00:00:00.000Z,0.77,52.81,13.43,7.12,29.32,13.523,24
2025-03-24T00:00:00.000Z,1.85,13.36,3.94,2.86,6.13,2.902,24
2025-03-25T00:00:00.000Z,0.38,5.7,1.88,0.89,3.22,1.514,24
2025-03-26T00:00:00.000Z,3.28,19.73,7.91,5.05,13.32,4.62,24
2025-03-27T00:00:00.000Z,2.54,21.99,8.01,4.34,10.91,5.466,10
2025-03-28T00:00:00.000Z,2.42,34.56,8.47,5.3,11.93,7.945,19
2025-03-29T00:00:00.000Z,0.35,39.77,3.94,1.13,11.11,9.66,24
2025-03-30T00:00:00.000Z,0.39,71.37,3.93,1.34,13.55,15.952,24
2025-03-31T00:00:00.000Z,0.35,48.84,3.77,0.88,11.17,12.99,24
2025-04-01T00:00:00.000Z,0.6,45.84,3.67,1.55,7.85,11.932,24
2025-04-02T00:00:00.000Z,0.36,34.72,3.63,1.54,11.5,8.43,24
2025-04-03T00:00:00.000Z,0.36,9.15,1.82,0.67,3.15,2.212,14
2025-04-04T00:00:00.000Z,0.37,30.12,4.3,0.54,18.04,9.844,21
2025-04-05T00:00:00.000Z,0.35,16.2,6.18,1.45,10.37,4.932,24
2025-04-06T00:00:00.000Z,0.35,42.73,3.46,0.69,16.07,12.042,24
2025-04-07T00:00:00.000Z,0.41,27.6,5.61,1.7,13.19,8.521,24
2025-04-08T00:00:00.000Z,0.35,28.48,2.95,1.47,7.53,7.053,24
2025-04-09T00:00:00.000Z,0.56,27.72,6.39,2.98,21.39,9.558,24
2025-04-10T00:00:00.000Z,0.39,16.92,7.83,1.19,10.56,5.4,24
2025-04-11T00:00:00.000Z,0.35,41.4,2.95,0.92,14.9,11.934,24
2025-04-12T00:00:00.000Z,0.35,817.72,3.42,1.08,16.32,162.507,24
2025-04-13T00:00:00.000Z,0.49,497.71,9.16,3.69,19.69,97.615,24
2025-04-14T00:00:00.000Z,1.59,20.9,8.82,4.07,16.23,6.351,9
2025-04-15T00:00:00.000Z,0.35,38.68,5.78,0.5,18.09,12.304,17
2025-04-16T00:00:00.000Z,0.35,471.5,1.9,0.69,3.23,93.76,24
2025-04-17T00:00:00.000Z,0.38,45.01,6.93,3.43,17.32,10.555,24
2025-04-18T00:00:00.000Z,0.35,15.15,0.56,0.35,1.94,4.3,24
2025-04-19T00:00:00.000Z,0.42,6.74,2.82,1.93,3.95,1.739,22
2025-04-20T00:00:00.000Z,0.65,18.75,3.09,1.47,9.11,4.906,24
2025-04-21T00:00:00.000Z,0.98,12.59,5.86,3.12,8.94,3.479,24
2025-04-22T00:00:00.000Z,0.62,10.57,4.28,1.7,5.34,2.513,23
2025-04-23T00:00:00.000Z,0.35,31.86,2.76,0.74,8.19,8.025,24
2025-04-24T00:00:00.000Z,0.35,17.26,2.35,0.57,4.84,4.861,24
2025-04-25T00:00:00.000Z,0.44,35.82,6.07,0.89,14.89,11.089,15
2025-04-26T00:00:00.000Z,0.43,35.28,1.42,0.71,14.83,10.361,11
2025-04-27T00:00:00.000Z,0.48,40.9,9.91,3.07,16.36,12.488,15
2025-04-28T00:00:00.000Z,0.35,53.06,1.42,0.82,17.05,16.781,18
2025-04-29T00:00:00.000Z,0.35,31.39,3.55,1.77,18.75,10.401,19
2025-04-30T00:00:00.000Z,0.66,20.46,8.01,3.18,10.92,5.455,17
2025-05-01T00:00:00.000Z,0.35,24.65,6.99,0.73,14.88,7.514,21
2025-05-02T00:00:00.000Z,0.35,23.36,1.84,0.5,5.51,6.604,18
2025-05-03T00:00:00.000Z,0.35,8.75,5.53,1.45,8.64,3.677,4
2025-05-04T00:00:00.000Z,0.35,61.7,6.68,1.18,21.06,17.958,21
2025-05-05T00:00:00.000Z,0.35,27.26,1.49,0.38,8.8,7.725,18
2025-05-06T00:00:00.000Z,0.43,19.16,9.19,2.7,11.86,5.49,24
2025-05-07T00:00:00.000Z,0.35,56.34,7.21,1.31,14.75,14.266,19
2025-05-08T00:00:00.000Z,1.42,32.47,9.9,4.8,21.31,9.451,19
2025-05-09T00:00:00.000Z,0.35,23.15,3.26,0.7,8.11,6.022,24
2025-05-10T00:00:00.000Z,0.42,35.44,3.52,1.97,11.02,9.721,24
2025-05-11T00:00:00.000Z,0.35,28.43,2.37,0.52,10.28,8.471,24
2025-05-12T00:00:00.000Z,0.35,30.54,5.88,0.93,11.4,6.826,24
2025-05-13T00:00:00.000Z,0.35,55.18,4.26,1.21,11.69,14.709,24
2025-05-14T00:00:00.000Z,0.35,74.37,3.32,0.37,8.06,19.769,24
2025-05-15T00:00:00.000Z,0.35,60.38,3.32,0.59,11.56,15.733,24
2025-05-16T00:00:00.000Z,0.43,65.23,5.46,1.59,23.59,19.32,24
2025-05-17T00:00:00.000Z,0.39,28.99,9.34,1.44,17.55,8.528,24
2025-05-18T00:00:00.000Z,0.35,18.89,3.49,0.4,11.19,6.696,24
2025-05-19T00:00:00.000Z,0.35,10.35,1.81,0.4,3.37,2.476,24
2025-05-20T00:00:00.000Z,0.35,31.06,4.9,0.61,11.99,9.726,24
2025-05-21T00:00:00.000Z,0.37,32.97,2.78,0.74,11.23,8.096,24
2025-05-22T00:00:00.000Z,0.39,905.95,6.58,2.29,19.14,179.282,24
2025-05-23T00:00:00.000Z,0.35,45.43,11.33,3.47,15.36,11.142,24
2025-05-24T00:00:00.000Z,0.35,41.33,1.21,0.36,9.69,10.305,24
2025-05-25T00:00:00.000Z,0.38,38.32,6.65,0.93,11.9,9.422,24
2025-05-26T00:00:00.000Z,0.35,18.17,1.67,0.36,10.32,6.105,24
2025-05-27T00:00:00.000Z,0.35,30.12,8.66,2.31,11.62,7.855,24
2025-05-28T00:00:00.000Z,0.35,28.95,1.27,0.4,9.94,8.767,24
2025-05-29T00:00:00.000Z,0.35,21.27,4.86,0.69,14.5,7.131,24
2025-05-30T00:00:00.000Z,0.35,17.19,5.63,0.85,13.77,6.408,24
2025-05-31T00:00:00.000Z,0.35,15.16,5.66,1,8.55,4.083,24
2025-06-01T00:00:00.000Z,0.35,22.14,7.62,1.78,11.18,6.165,24
2025-06-02T00:00:00.000Z,0.35,38.06,4.3,0.56,10.17,9.198,24
2025-06-03T00:00:00.000Z,0.35,37.33,4.7,0.98,10.92,10.074,24
2025-06-04T00:00:00.000Z,0.35,39.86,6.84,1.84,13.06,10.447,24
2025-06-05T00:00:00.000Z,0.35,40.4,6.86,0.59,18.29,11.872,24
2025-06-06T00:00:00.000Z,0.35,28.83,10.03,5.17,16.73,8.744,24
2025-06-07T00:00:00.000Z,0.35,33.93,7.48,0.36,13,10.195,24
2025-06-08T00:00:00.000Z,0.35,49.28,4.69,0.91,13.56,12.519,24
2025-06-09T00:00:00.000Z,0.35,16.98,2.46,0.47,6.59,5.372,8
2025-06-10T00:00:00.000Z,0.35,35.39,6.07,2.65,26.27,12.594,15
2025-06-11T00:00:00.000Z,0.35,43.89,8.25,1.79,22.72,12.849,24
2025-06-12T00:00:00.000Z,0.35,39.56,4.48,0.72,14.46,11.814,24
2025-06-13T00:00:00.000Z,0.35,51.21,3.19,0.41,14.22,14.682,24
2025-06-14T00:00:00.000Z,0.35,41.18,9.08,0.41,18.64,11.97,23
2025-06-15T00:00:00.000Z,0.35,40.44,4.99,0.67,15.82,11.99,22
2025-06-16T00:00:00.000Z,0.35,39.99,3.35,0.6,16.02,11.825,23
2025-06-17T00:00:00.000Z,0.38,51.08,13.39,7.13,38.04,15.486,15
2025-06-18T00:00:00.000Z,0.35,51.88,7.44,1.46,16.71,15.915,24
